::1 - - [08/Aug/2023:13:42:31 +0000] "GET /user/1 HTTP/1.1" 200 219 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:20:27 +0000] "GET /user/1 HTTP/1.1" 200 219 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:20:37 +0000] "GET /karyawan HTTP/1.1" 401 44 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:20:42 +0000] "POST /user/login HTTP/1.1" 200 383 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:20:56 +0000] "GET /karyawan HTTP/1.1" 200 481 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:54:49 +0000] "GET /kriteria HTTP/1.1" 401 44 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:54:52 +0000] "POST /user/login HTTP/1.1" 200 383 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:54:59 +0000] "GET /kriteria HTTP/1.1" 200 143 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:55:14 +0000] "GET /kriteria/2 HTTP/1.1" 401 44 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:56:37 +0000] "GET /kriteria HTTP/1.1" 200 143 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:57:36 +0000] "POST /kriteria HTTP/1.1" 200 78 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:57:45 +0000] "POST /kriteria HTTP/1.1" 200 76 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:57:57 +0000] "POST /kriteria HTTP/1.1" 200 75 "-" "PostmanRuntime/7.32.3"
::1 - - [08/Aug/2023:15:58:00 +0000] "GET /kriteria HTTP/1.1" 200 297 "-" "PostmanRuntime/7.32.3"
